Reviewer,Rating (1-5),Ulasan
ika pristy,5,"Tempatnya luassss, indoor outdoornya bagus.. makanannya banyak banget macamnya kagak bisa incip smua deh krna saking byknya jenis makanan n minuman. Kikilnya uenak joss. Pasti balik sini lg, meskipun sdh berkali2 kesini."
Bintang A,1,"Hotel bintang 5. Tp checkin butuh waktu 1 jam, datang di resepsionis udah malem2 jam 21.30, dikasih kunci ga bisa dipake buat masuk kamar, turun lg ke resepsionis ganti kunci, naik lagi eh ga bisa lagi. Akhirnya ganti kamar. Baru kelar 22.30"
Haryanto,5,Dekat dengan stasiun Gubeng Surabaya dan dekat dengan pusat kuliner menjadikan alasan untuk menginap disini jika sedang berada di kota Surabaya
Emi Widyawati,3,"Kamar luas ttp sayang terasa lembab dan pengap. Taman kesan kurang terawat. Toilet kamar saluran pembuangan nya tidak lancar, jadi air tergenang agak lama"
syauqi annuri sam kusumo patria,5,Klasik memang lebih baik kamar luas nyaman cm sayang di saat pandemi spt skr breakfastnya krg asik tdk spt biasana pilihan terbatas sgt sedikit
Athena,5,"saya suka suasana Hotel ini, so romantic, dan makanannya AMAZING - super lezat, I wish I can stay longer - mungkin dengan begitu saya bisa nambah berat badannya, ahahaha, kidding - but yes! this the best hotel in town, konsep resort di tengah kotanya - JUARA!"
Diantika Ambardina,5,"Pertama kali masuk langsung disuguhi aroma terapi yg menyenangkan. Banyak sekali pohon dan taman yg indah. Kamar yg istimewa dengan pemandangan kota yg menawan. Lalu alunan piano yg merdu tiap pagi dan sore. Staf yg sangat ramah. Mereka akan membalas ""dengan senang hati"" ketika kita mengucapkan terima kasih."
Septiarini Irianti,5,"Paling suka sama obral kuenya,  g bikin nyesel malah nagih. Harga terjangkau. Rasanya emang enak. Belum lagi dg konsep resto outdoor yg kental nuansa tradisional, menunya banyak variasi.. Try this!!"
Trip.com Member,5,Recomended banget hotelnya.. cocok buat staycation bersama keluarga. Dekat dengan pusat kota
Trip.com Member,5,Hotel lama tp tetap terjaga lebersihan dan servicenya.. keep it good..
elly,4,"makan buffet disini berkesan krn suasananya bagus sekali dan banyak menunya dr makanan indonesia, asia atau barat. harga agak mahal dan rasa biasa aja. hotel bagus, bersih dan wangi"
Stepanus Hutasoit,4,"Makan d Resto dgn all u can eat. Mulai dari masakan indonesia dan mancanegara, enak2 masakannya. Dan juga jajanannya, mantap. Cocok tuk keluarga, bercengkerama bersama n santai-santai"
Sri Mujayati,1,"Tgl 20 Maret 2021 saya menginap 1 malam, dapat kamar 858,staf ramah semua, kamar bersih, kamar mandi hanya closet ya yang kotor tetapi setelah saya pakai bathtub dan airnya saya buang keluarlah itu air bathtub dari lubang kamar mandi dan mengeluarkan kotoran hitam2 dan bau sekali seperti air got dan juga keluar dari lubang bawah wastafel, banjir kemana2 dan bau, saya tidak komplen dan tidak minta ganti kamar karena sudah terlanjur dipakai ya dan males juga bawa barang2 lagi jika pindah kamar, tolong jangan dikasih ke orang dulu itu kamar 858, perbaiki dulu saluran pembuangan air dari bathtub mungkin ada yang tersumbat dan closet diperbaiki ya karena tidak layak untuk hotel bintang 5"
Moch Anwar Sidik,4,"Disini per orang saat ini bulan juni 2018 harga 200 rb rupiah, makan sepuasnya,  masakan jawa, eropa, jepang, semua jenis ada murah bagi yang suka makan banyak ,bagi yang makan sedikit kurang cocok,  waktu sore/mlm hari jam 18-20 wib"
Almer Witular,5,"Hotelnya sangat hijau, pemandangannya keren banget, sarapannya sangat memukau beda dengan konsep hotel lain, ada pasar malam juga untuk jajanan traditional. Top banget, selalu sukak kalau bermalam disini"
muhammad rafif,5,"amazed gw, itu masjidnya masjid dalam hotel apa luar si ""ta'mirnya"" .bener bener bagus 5 waktu lagi sholatnya dan bagus bener kemarin saat aku sholat jumat.  makanannya juga enak dan aku belum menjumpai makan atau minuman yang harom, aku belum memastikannya secara detail dengan bertanya langsung. mungkin itu dari saya"
Sandra Kumala Dewi,5,"Hotel favorit setiap ke Surabaya. Memang hotel lama, tetapi kondisi kamar tetap terjaga kebersihannya. Staff sangat ramah. Walaupun stay untuk waktu lama tp tetap terasa homey."
La Tifah,5,"ini untuk yg pertama sy ke hotel Bumi Surabaya Resort,dari pengalaman ke beberapa hotel di Surabaya menurut sy pelayanan dan keramahan karyawan nya sangat memuaskan dan berkesan..top deh buat layanan hotel Bumi Surabaya Resort..👍🏽👍🏽👍🏽 Bisa untuk recommended lain waktu 🥰 …"
Dwi Permitasari,4,"Fasilitas hotel lengkap tp krn pandemi masih blm bisa digunakan semua, gym masih tutup, kolam renang pun terbatas (ada jadwal), utk menu sarapan sangat baik dan lengkap tp masih dibatasi, air mineralnya disediakan dlm bentuk kemasan gelas plastik, utk security nya cukup ramah, tetapi beberapa karyawan ada yg ""jutek"".. smg nanti bisa ditingkatkan salam, sapa, senyum, terima kasih, salam"
Lily Lili,5,The best hotel yg pernah saya singgahi. Dengan memiliki 2 kamar yg terhubung satu sama lain memudahkan keluarga apabila berpergian dan menginap bersama. Dengan nuansa yg menarik dan pelayanan yg memuaskan
Ratih Ratih,5,"Staff hotel sangat ramah, kamar hotel luas dgn pemandangan city view yg menakjubkan, dan banyak pepohonan rindang di lingkungan hotel."
Alan Maulana Ramadhan,4,"Kamar sangat luas dan nyaman. Kamar mandi bersih, AC dingin. Makanan untuk breakfast enak dan bervariasi. Hanya saja kamar terkadang tidak dilengkapi sandal hotel."
Kattri Minarti,5,"Waaah, tempatnya enak bgt. Sering ada promo jadi meringankan beban kantong. Puas mau makan apa aja, western food, indonesia food, japanase foos, lengkap komplit. Range buffet 200-350rb, mayan..."
Trip.com Member,5,Kamar sesuai dan pelayanan cepet walaupun sarung bantal belom di pasang begitu dipanggil cepat ditangani
Karina Widjaya,5,"Lokasinya strategis tapi kurang terlihat dari luar. Dekat dengan gramedia dan tunjungan plaza. Suasana tempatnya jawa tradisional dan banyak ornamen-ornamen pendukung. Kamar lega dan nyaman, kamar mandi juga luas."
fajar andy kurniawan,5,"Very excited! Pilihan makan sarapan sangat bervariasi,tempat parkir luas,kamar besar dan nyaman terutama untuk yng bersama anak-anak,ada kolam renang semi jacuzzi yng ber air hangat"
Rodiana Rodiana,5,"Bener-bener ga nyangka hotel di pusat kota Surabaya yang ada suasana kebun asri di dalamnya... nyaman buat stay cation bersama keluarga, ngumpul-ngumpul reuni atau sekedar ngopi"
Vivi Pah,5,"Taman luas dan asri, kolam renang standard olympic, makanan ok dg variasi yg banyak, pelayanan sangat baik. Tpt yg sangat recommended utk family vacation"
Matthew Sapan,4,Kamarnya agak ngeri dikit ada bau Menyan :D tapi secara keseluruhan oke lah sarapan juga Mantab ada banyak pilihan bahkan saya sampai bingung mau coba yang mana :v :D
Enggar NoNi,5,"Makanannya enakkkkkkk banged. yg pengen nyobain segala macam makanan dr mulai tradisional, chinese food, japanese, western.... ah... enak. mulai dr jajanan sampek yg kelas berat. makanya kalo niat mau ke sini, kosongin perut dulu ya, spy Muat smua"
Natdonad Donad,4,"Hotel luas sekali, bersih sekali lobby nya, namun kamar mandi d dlm kamar agak kotor bath upnya. Fasilitas dan makanan enak"". 👍🏻👍🏻"
Dudi Dudi,4,"Makanan nya enak, kamar nya sangat lega....cuma perlu ditingkatkan kebersihannya...mosok saya dikasih asbak bekas pakai ?! mohon management nya sesekali terjun ke lapangan untuk kontrol"
Candra Firdaus,5,"Hotel Bintang Lima tengah Kota Surabaya, cocok sekali digunakan untuk pertemuan bisnis, acara keluarga, suasana Hotel kental banget nuansa etnik Jawa nya, aroma ruangan lobi bau sere dan jahe, restoran banyak sekali makanan tradisional, dari Tahu Tek, Soto Ayam/Daging, Pecel, Gado Gado dan tentunya Western food tetap ada. Taman disetting nuansa pedesaan serasa kembali tempo dulu"
E Surjanti Utami,4,"Tempatnya teduh... banyak pohon2... karyawan ramah... juga tiap ruangan tercium aroma terapi rempah2 dan bunga... sangat khas. Hanya sayang, untuk parkir motor dikenakan tarif perjam 4000. Jadinya kalo parkir terpaksa disamping hotel aja."
Robin Bagijo,4,"Staff ramah, kebersihan lumayan ok. Cuma beberapa barang di kmr kurang terawat, ac kamar kurang dingin. Lampu juga kurang terang"
wisnuharimurti harimurti,5,"Great city resort hotel. Kamar senyap. Walaupun ada beberapa hal yg harus diperbaiki, handle pintu tdk pas, pintu sliding tdk bisa rapat. Makanan sangat lezat. Overall ok"
Love Ching,3,"Kalau menginap disini, minta lantai tinggi dgn view arah Sby barat lbh bagus, krn pernah kami dpt kamar hadap selatan, lantai agak rendah, view bangunan kosong dan taman ga terurus jadi ngeri juga.."
Caesarani Lina Dwi Setyaning,5,"Suka banget nginap di sini...semuanya ramah2..pelayanan juga oke..kamar bersih, rapih, kamar mandi rapih dan semua perlengkapan mandi tersedia..makanan enak2..protokol kesehatan diterapkan dengan baik di sini..TOP..semoga bisa balik lagi.."
Angell Bpk,5,"Kamarnya bagus dn kamar mandi lengkap ada bathtub dan showernya, Breakfast juga lengkap ada masakan Indonesia dan luar. The best"
Haries Probo,5,"Nie hotel seru bangeettzz...sumpah.. Walopun mungkin berkesan jadul, tapi kemewahan hotelnya masih kejaga banget.. . Dan yang bikin seru dari hotel ini adalah restaurantnya.. Ada dua model indoor & outdoor dalam satu restaurant.. . Menunya juga banyak banget pilihannya buat breakfast.. Kalo kalian mau makan siang disini.. Dijamin seru dengan paket All You Can Eat nya.. Menu jepang.,Menu Indonesia.,Menu Bule2 gitu juga ada di paket All You Can Eat.. . BUMI SURABAYA CITY RESORT 🏠 Jl. Basuki Rakhmat 106-128, Surabaya 💰 Bisa dicek di Agent Travel Online.. 😊 . . #sukamakan #sukajalan #suka2xsurabaya #instagram #travel #travelgram #traveling #hotel #exploresurabaya #hotelsurabaya #wisatasurabaya #hotelbumisurabaya #surabaya #indonesia"
Rizka Nur Amalia,5,Hotelnya baguusss. Pas ramadhan open menu daa seat buat buka puasa. Musholla oke bersih gede. Parkir memadai. Viewnya bagus yg outdoor. Macem garden party wkwk
Ceevee Aman,5,"Hotel yang dulunya bernama Hotel Hyatt sekarang semakin bagus dan nyaman..lobby yg luas dan bisa memandang hijau Tamam secara langsung..ruang meeting untuk acara seminar,meeting dll jg bagus.apalagi saat akhir tahun banyak hiasan natal utk selvie2"
Vanessa Diah Stefanie,5,"bagus sekali.selalu ramai.makanan bervariasi(soalnya ada makanan nusantaranya juga) and ice cream🥰. kolam renangnya kaget sih udah beda banget,sekarang bagus banget …"
Ratih gusti,5,"Makanan di resto Arumanisnya juaraaa sih menurutku ❤ Semua staffnya juga ramahh, lain kali pengen nyobain roomnya juga kalau ada waktu ⭐⭐⭐⭐⭐"
Dyah Ganis,4,"Kamar oke, cuma dr kamar terlihat bangunan/tower sebelah yg sudah tidak terawat dan agak horor lihatnya. Lalu untuk sistem cardnya agak jadul (bukan tap tapi di masukkan)"
Albert Nopus,5,"Tempat yg aman, nyaman ideal ytk acara rapat konferensi dan liburan keluarga"
LDY,5,"Strategis, layanan baik, kamar bersih, makanan banyak variasinya tapi untuk menu nasinya lauk pauknya kurang menarik"
Mirza Firnanda,5,Hotel dengan nilai-nilai ke-Surabayaan yang sangat tinggi. Patut dikunjungi walau sekedar duduk di lobby sambil mendengarkan pianist menghibur atau cari diskon toko kue delicatessennya sore hari.
Trip.com Member,5,"Recepsionis respon cepat,requrst dipenuhi,kolam renang bersih,breakfast banyak variasi dan enak,next akan ke bumi lagi"
Zepta Windaryanti,5,Makanan variatif dan enak
Bg Jm,5,"Letak di tengah kota dekat tunjungan plaza , bekas hotel hyatt, kamar kuno tapi nyaman dan besar, taman hijau dan rindang, ada buffet nya yang terkenal enak"
Ruyi Ko,5,"Sinom / Wedang Sereh Minuman traditional yang akan menemani waktu check in . Sangat berguna untuk kesehatan. Staff receptionist yg sangat baik saat check in , thank you."
Rudy Kristianto,5,"Suka dengan pelayanan semua staf yang sangat ramah, kamar luas, biarpun tua tapi bersih dan nyaman. Lokasi sangat strategis. Recommended buat staycation di Surabaya."
Andrian Hengky,5,"Utk hotel bintang 5 harga nya tidak mahal. Sarapan pagi nya bervariasi dan enak. Cm kamar agak tua, ada beberapa tombol lampu yg rusak."
unknwn3796,4,"Banyak menunya, paling favorite salmon dan sushi. Utk lambnya masih terasa aromanya, tp teksturnya mantap, empuk. Es celup coklat + teh tariknya juga mantep."
Bagus Setyawan ZAzg,4,"Loby ok banget aromanya bikin tenang, kamar luas pemandangan dr kamar ok, kolam renang bagus, sarapan pagi menu utama kurang bervariasi."
Herry Susanto,4,"Hotel lama, fasilitasnya banyak, kolam renang, memancing, fitness, spa, taman yang bagus, kamar yang besar. Hanya sayang ada beberapa lantai  dan fasum dekat lapangan tenis yang dibiarkan kurang terawat"
Daniel Pang,5,"Makanannya lengkap ada semua. Dari makanan indonesia, jepang sampai oriental. Jenis makanannya banyak dari yang keringan sampai berkuah. Ada sate, martabak dll. Macam macam minumannya pun lengkap mulai dari teh tarik, es doger, es campur dan lain lain."
Lita Permatasari,1,"Minta linen di ganti ternyata tdk di ganti Handuk tdk di ganti ,tisu kosong di telp baru dtg kasih handuk baru dan tisu, sungguh mengecewakan hotel bintang 5 kok begitu 👎👎👎 …"
deo septa,5,"Hotel yang nyaman dan asri,pelayanan ramah sekali"
Raden Djati kusuma,5,Tempatnya nyaman bayak taman air mancur ..kolam renang.lapangan tenis..kamar luas bersih..pelayan ramah...makanan enak menunya banyak dg iringan musik jawa klasik mantab dech👍 …
zaki Astofani,5,"Ini hotel luas banget, ini tempat nginep nya para pejabat setau ane. Sempet jalan kaki dari depan Sampek belakang ternyata bikin kaki capek juga. Hotel penuh nuansa elegan dan recommended lah bagi para pebisnis milenial"
Safirah Ishami,5,"Paling suka kalo kesini. Bau lobbynya khas banget, wangi rempah-rempah gitu. Satu hal yang bikin gak nyaman itu parkir kendaraan di sini diitungnya per jam. Bisa sih minta stempel ke resepsionis biar free parkir gitu. Tapi cuma bisa satu kendaraan aja per kamar"
Sari Adeliasepti,5,"The best pokoknya, kamar mandi luas bath tub, wifi sinyal full, koran pagi, bisa makan di taman yang luas, swimming pool bgs, pengalaman yang paling 🖒mgkn harga makanannya untuk order kr kamar yg agak high …"
yasser effendy,5,"Makanan enak, live music ok, memang harga lumayan tp terbayar kok"
I O,5,Tempatnya bagus indah & bersih
Susy Magnadana,4,"Lumayan sih  untuk makanan nya...sushi nya enak, soto dan bakso nya juga lumayan...spot nya untuk foto foto kurang terawat...coba misalnya taman di maksimal kan pasti lebih keren..."
LIA Barends,4,"Suasana asri, resto dengan menu lengkap all u can eat, aroma sereh dalam ruangan menyegarkan, sangat menyenangkan duduk di taman dekat kolam dan air mancur saat lampion-lampion mulai menyala"
Diana Fajar,4,"Suka sama tempatnya yg banyak dipenuhi dg tanaman ijo2😍 suasananya juga bukan seperti berada disurabaya hehe...🤗 breakfast nya juga enak2..👍 tahun depan pengen kesini lagi deh🙏.. tapi ada kekurangannya juga sih.. Sikat gigi cuma dapet 1 padahal booking 1kamar untuk 2orang,sandal juga cuma dpt 1pasang aja,handuk besar juga cuma 1.. air mineral yg ada dikamar juga kena cost..pdhl pernah nginep dihotel bintang 3 dikasih jatah air mineral loooh... Tapiiii ya memuaskan sih untuk mengisi weekend bersama keluarga🥰🤗 Gk perlu jauh2 ke bali,ke bumi surabaya suasananya sudah kyk pergi ke bali hehe.."
Florencia Gleda,5,Old hotel but super good hotel. Paling suka dengan All You Can Eat nya 👌👌 Harganya sekitar 270.000++ tapi macamnya banyaaakk banget dan super enak.  Pelayanannya juga sangat ramah. Kebersihannya oke👌
Wasis Jatmiko,5,"Hotel yang sangat nyaman. Didalamnya terdapat semacam pasar tradisional, lokasinya  yang klasik dengan nuansa pedesaan dan dilengkapi dengan makanan tradisional. Saangat nyaman untuk berbuka dan makan sahur saat bulan Ramadhan"
Pearl Valerie,5,"Pelayanannya baik, ramah"" cakep"" pengawainya baik yang wanita ataupun yang pria, makanannya bersih dan sehat, saya suka sekali tamannya adem dan sejuk, oh iya satu lagi ide yang sangat bagus dalam memperkenalkan minum khas indonesia secara ""sinom"" kesukaan saya tuch 😅 and for free 😊"
Septina Setyaningrum,5,"Top pelayanannya, masuk lobby rasanya lelah dan capek hilang demi mencium aroma rempah, varian breakfast menyenangkan, area outdoor bagus ditengah kepungan kota yang panas."
Rafael hermawan,5,"Hotel yang luas dan nyaman, harga sesuai dengan fasilitas dan semua kenyamanan yg didapat. Kolam renang luas banget apalagi makanannya"
Keenan Darmawan,5,Minus cuma di kamar. Kamar debu bgt. Astagfirullah Tp pelayanan dan makanan breakfast enak.
Aris Mahar (Budi),5,berada di pusat kota sby. meski di kota tapi terasa nyaman dan tdk bising. pemandangan klo malam bagus kelihatan kelap kelip lampu pemukiman di kota sby bisa dilihat dari ruangan.
Lenny Marisi,4,"Hotelnya sbnrnya oke cuma agak tua ya dan kamar kurang terurus, ketika masuk kamar tempat tidur miring dan sprei kusut tp stlah complain akhirnya dipindah sih, xoxo lah"
Ajeng Rudianto,5,"Hotel paling ngena di hati yang pernah saya kunjungi，Hotelnya bagus,view juga mantap,taman luas dan mukau,makan juara dg bragam menu yg tersedia.Yang utama staff super ramah dan toilet buersiiiih plus wangi aroma trapi.Aq syukaaaaa...."
Metha Faizza,5,"Sarapan menu lokal 🏆🏆🏆 Kamar 🏆🏆🏆🏆🏆 (Luas nyaman) Kebersihan 🏆🏆🏆🏆 (telponnya berdebu banget maap 🙏🏻) Kolam Renang 🏆🏆🏆🏆🏆 (Luas, ada jacuzzi) Pohon dan taman nya pertahankan yaaa Good choice for staycation Berasa ga d sby 🤗🤗🤗🤗🤗"
Rosita Puryono,5,Menginap di Hotel ini luar biasa. Recomended dan pasti ingin kembali. Pelayanan dan fasilitasnya jg oke. Sarapan paginya wow beraneka ragam dan enak. Kolam renang dan taman bersih. Luar biasa!
Febrian Issana,4,"Perayaan Tahun Baru dengan tema Malam Reuni. Dalam rangka tahun baru 2020, Bumi Surabaya City Resort mempersembahkan perayaan tahun baru dengan tema ""Reunion Night"". Pengunjungdapat menikmati lebih dari 150 menu makanan Indonesia, Jepan, Tiongkok dan International beserta menu spesial yakni kambing guling dan Lamian noodles di pasar malam bumi surabaya city resort"
Honey Sunshine,5,Sorry for late review btw paling enak vibes break fast di pagi hari seger dan sejuk
Jessica Arvinda,5,"Saya tidak pernah menginap disini, but the buffet was amazing. Banyak macam makanan indonesia, ada juga macam makanan jepang. Di bagian outdoor terdapat berbagai macam snack yang enak."
Kronion Rettice,5,"Bagus , kayak bukan di Surabaya. Kolam renang luas , makanannya variatif. Tapi tempat makannya crowded. Tempat fitness nya tersembunyi."
rayendra pratama,4,"Pas ada agenda ksby, this is nice hotel, pelayanan ramah, kamar gede, lebar, recommanded deh pokoknya, cuman sayang, ane cari massage nya syusyahnyaa....dateng"" pegel pengen massage tp gk ada info sm sekali."
sylvia meirina,5,"Macam makanannya banyak banget , masakan indonesia, western, japanese, harga waktu saya ke sana dinner hari kamis 214.000, suasananya juga enak dan nyaman untuk ngobrol."
K Sudrajat,5,"+ Kamar Luas dan bersih , tersedia Bathtup & shower air hangat 24 jam, Pelayanan ramah  - Karena masa pandemi menu sarapan sangat terbatas untuk sekelas hotel bintang 5 tapi untuk rasa dan kebersihan tetap terjaga  Note : siapkan deposit 500K saat checkin  Overall standart pelayanan Hotel bintang 5 dengan suasana sangat asri di tengah kota Surabaya"
Abdullah Arief,5,"Hotel yang sangat nyaman dan bersih. Puas menginap disini pelayanan sangat ramah, fasilitas hotelnya lengkap. Menu sarapannya banyak variannya. The Best Hotel bintang 5."
Rizky Kiki,4,Hotel dg tampilan nuansa etnik budaya Jawa dan layanan yg humanis ramah sopan terlebih dg suasana makan malam ala pasar lengkap mulai masakan khas Jawa Timur dan Japan...mantap dan berkesan...
nata negara,5,Hotelnya nyaman.... seperti di pinggiran kota pdhl di jantung Surabaya...cirikhas hotel di surabaya adlh makanannya yg sngt variatif dan mengedepanka menu2 tradisional..seperti wedang jahe...wedang rempah.. jagung rebus..kacng rebus dll... menu international ttp ada dan tersedia... Harga cukup terjangkau...setara dg fasilitas yg disediakan...termasuk masjid disamping belakang hotel...
Heny Heriyah,5,"tempat nya nyamam, sangat asri serasa lg di kampung halaman. menu makanan nya enak, pelayanan nya jg bagus yah, staf nya sigap. saya kasih bintang 5 untuk BUMI SURABAYA."
Nevy Pratama,5,"Nicecation 🤍 Kamar super bersih, nyaman, perlatan mandi lengkap, air panas berfungsi dgn baik. Hotel lama tetapi terawat sekali 🤍 …"
Deny Agustin,5,Overall pelayananan kecuali recepsionist kurang ramah. Pengalaman di hotel bintang 4 dan 5 lainnya untuk seluruh staff tegur sapa saat bertemu tamu di manapun.
lukito lukito,4,"Saat berbuka puasa, area resto sangat ramai pengunjung. Apalagi bila cuaca cerah....lokasi taman cukup menarik untuk acara berbuka puasa bersama teman / kerabat...."
ardiansyah rusadi,4,"Kamar bersih, nyaman, tidak terdengar suara mobil atau motor dikamar.. Menginap 2 hari yang berkesan bersama keluarga.. Cuma, pas keluar untuk jalan bersama keluarga, saya minta kamar untuk dibersihkan dgn menempelkan kartu digagang pintu, namun saat kembali kekamar tidak ada pihak hotel yg membersihkan kamar kami...  Overall lumayan lha.."
adheline marbun,5,"Suasana jawa kraton sgt terasa, dekorasi all out, furniture mewah dr kayu, pelayanan ramah, kamar type standard ada bath-up, sarapan sgt bervariasi & enak.. Hotel kualitas bintang 5 namun harga bintang 4. Wanna stay here for next trip.."
Ruhsyahadati Ajis (Dati),5,"Hotelnya bagus, suasananya tradisional banget, lobbynya dikasih aroma terapi semacam sereh. Ke sini waktu itu untuk ikut seminar, ruang seminarnya bagus, luas, cuma sayangnya waktu itu sound systemnya kurang bagus."
Rauf Tameka,4,"Tempat nya bersih dan asri... Sempat tertipu dengan bentuk bangunan dari luar, ternyata dalam nya ruar biasa.... Mantab... Untuk restonya.... kebanyakan masakannya fresh... Jadi kita musti bersabar untuk di buatkan... Sip deh... Nyesel kalo belum Pernah tinggal disini minimal 2 hari..."
hari cahyadi,5,"Gila men makanan disini enak enak banget, banyak banget pilihan nya, favorit saya, yang mungkin juga paling banyak antrian nya, sate ayam nya, bumbu kacangnya enak banget, cuman mesti sabar karna banyak yg pesen, nasi goreng kambingnya jg yahudd"
Noven Suprayogi,5,"Hotel yang sangat bagus, apalagi untuk restonya, sangat cocok buat meeting point dengan kolega atau klien, pasar malamnya juga ok, menunya ok, musholanya juga lumayan bagus. Cuman parkirnya mahal he he"
gus Yoga,1,"kamar hotel nya jadul, aroma ruangan kurang sedap, untuk breakfastnya sudah tidak se enak dlu, mengecewakan lah pokoknya dengan harga yg ga murah"
Iman Hamdani,4,"Asik tenpatnya, terua samping hotelnya banyak jajanan (berat) Jdi kalo malem-malem laper gak perlu jauh, tinggal keluar hotel ke kanan, ada nasgor, tahu tek, warkop dll"
Nysa 25,4,hotel legend bagus dengan makanan jawa yg menarik. namun mgkn akan menjadi lebih berkesan bila style dan pelayanan lebih modern
Yossy Catarina,5,"Hotel yang nyaman, apalagi breakfast dan suasananya, juara.. Hanya saja deposit awalnya cukup besar 500 ribu dan hanya bisa cash dan kredit.. Tapi overall oke banget.. Referensi hotel Surabaya yang nyaman.."
dyah palupi,5,"Hotel yg nyaman banget. Tamannya cantik, paduan Jawa dan Bali. Pelayanannya oke banget. Wangi dan bersih. Dan yg selalu bikin kangen adalah menu andalannya.... Sop kikil! Woowww yummy abisss"
Felya Arafah,5,"Hotel bagus &asri meskipun bangunan lama tapi bersih &rapi -resto: banyak pilihan menu dg rasa yg enak.. ada pondok2an gt dg menu indonesia dan jepang -kolam renang: luas.. ada yg air hangat ada yg terpisah diatas spt kolam privasi.. dikelilingi taman juga yg bs cantik -pelayanan: bagus, ramah.. disediakan minuman tradisional sinom... rasa asam tp bikin segar Sukses selalu ya👍"
Margo Istri Rahayu,5,"Senang menginap disini, bagus, bersih, petugas ramah² dan memuaskan... Masakan jepangnya mantap, makanannya wueeenaaak puoollll...pusat kota, dejet dengan pusat perbelanjaan... Pokoknya kereeeeen abis.👍👍👍 …"
Zainal Arifin,5,"recommended hotel, pelayanan santun, aromanya ketika memasuki lobby hotel begitu berasa menenangkan, dan yang lebih membuat hotel ini sangat rekomendasi adalah tempat makannya, ada yg indoor dan outdoor, ada live cooking untuk outdoor dan masih banyak lagi.. belum lagi food stall seperti gerobak2 dengan kearifan lokal yang membuat nuansa pedesaan begitu terasa disini, sangat betah untuk berlama-lama di luar sambil berbincang dengan rekan kerja atau keluarga."
Andres dhewa,4,"Menginap semalam, resepsionis Joe cukup membantu memberikan keterangan lengkap yang diperlukan, harus menyimpan deposit 500k, kamar tidur luas, kamar mandi luas, bak mandi shower ada hanya semprotan untuk toilet belum ada, view mantap bisa melihat city light Surabaya, makan pagi banyak pilihan, jajanan kuenya enak,minuman ada beberapa pilihan, bisa dibuatkan nasi goreng atau telur, kartu kamar diberikan 2, colokan diberikan terminal ekstra, overall bagus interior sesuai namanya clasic, lampu kamar bagian tengah yang tdk ada mgkn biar temaram.ke Tunjungan Plasa dekat."
Erick Karya,5,"Tidak pernah mengecewakan, tamannya rimbun berasa ada di lokasi wisata ditengah-tengah kota, all you can eat nya unggulan, kamarnya bagus... 5 stars for winning my heart"
David Rahadian,5,"Hotel bintang 5 cukup legendaris yang dulu bernama Hyatt Bumi Hotel Surabaya, sepertinya hotel bintang 5 kedua yang ada di Surabaya setelah Hotel Majapahit.. suasana taman dan pool area bernuansa Bali dengan taman yang indah.. Buffet restaurant dengan belasan booth makanan khas jawa timur, barbeque dan masakan internasional menjadikan resto nya sebagai pilihan tepat untuk mukbang atau makan besar dan bersantai"
nurul husnah,5,Satu yg saya suka tentang makan disini adalah pasar senggolnya..pilihan menunya luar biasa banyakkkk variatif termasuk aneka sushi dan semua rasanya ajibbb.. ukuran sajinya kecil jadi pas buat yg suka mencoba semua sajian seperti saya..wkwkwkwwk menu pilihan saya selalu kare lorjuk dan roasted lamb..klo pas Bulan ramadhan gini pasar senggol buka dari jam 5 sd jam 10..pesan saya puas2in deh makannya..biar ga rugi krn harga paketnya menurut saya sih lumayannn Wkwkwwk
rainbows with cloud,5,"Kesan pertama buat hotel ini adalah khas bau aromaterapinya yg seger bangetttttt, banyak pepohonan rindang dan banyak spot foto yg bagus2 ,, makanannya enak2,bersih, Puas bisa menginap di hotel bumi."
Adi Kiswoyo,3,Cuma sayang uang deposit nya gilaaa kayak org malak... 1 juta rp ( Di jw mariot sby aja cuma 100 rb). Kl pakai kredit card blk in duitnya jg 7 hari setelah check out... parah.... setelah di tawar bs jd 200 rb cash... gile.... kaget aja....
feri gama,5,"Lokasi yang strategis Makanan yang bervariasi Kamar yg bersih dan nyaman Yuukk, bisa dicoba nih .. recommended banget"
Mitra Usaha,5,resort dengan pelayanan terbaik
Aan Fila,5,"Hotel yg nyaman di tengah kota surabaya,aroma therapy seperti aroma sereh semerbak memberikan tambahan ketengan, sarapan pagi yg banyak variasinya di jamin bingung milih mau mulai dr mana hehehe....,kolam ikan dan air mancur di taman hotel bisa buat mainan anak2, hanya saja saat cek in harus memberikan uang jaminan 500 ribu dan bisa di ambil saat cek out,jadi harus di persiapkan karena ATM nya lumayan jauh di dekat parkir mobil"
Fadjar Yaisn,5,kamarnya uapik
Marliahaena Suradinarta,5,Kalau hotelnya belum pernah coba sih...cuma restonya keren banget.... masakan nya mantab.mulai Indonesia asia western Japanese macam2 lah.semua enak food n drink nya.tempatnya cozy bgt.instagramable juga ....sy sih baru coba yang dinner belum pernah yang lunch.kapan2 kalau ke Surabaya coba yang lunch ahhhh....yg mau kesini alangkah baiknya reservasi dulu ya gaesss
